Year,Production (kg),Area (ha),Productivity (kg/ha)
1974,4352000,2176,2000.0
1975,1308000,2180,600.0
1976,2095000,2538,825.4531126871552
1977,5250000,2625,2000.0
1978,5153000,2931,1758.1030365063118
1979,25935000,10362,2502.8951939779963
1980,6110000,10750,568.3720930232558
1981,34521000,11655,2961.904761904762
1982,19885000,12631,1574.3013221439317
1983,26582000,14679,1810.8863001566865
1984,14338000,14541,986.039474589093
1985,15012000,13237,1134.0938279066254
1986,13009000,17416,746.9568213137345
1987,31000000,21421,1447.178002894356
1988,20901000,23855,876.168518130371
1989,26027000,27010,963.60607182525
1990,29910000,27131,1102.4289558070104
1991,29452000,27270,1080.01466813348
1992,21761000,25906,839.9984559561492
1993,15362000,18292,839.8206866389678
1994,24390000,18270,1334.9753694581282
1995,21562000,18797,1147.0979411608234
1996,30391000,20167,1506.966826994595
1997,13267000,13820,959.985528219971
1998,18480000,13200,1400.0
1999,18480000,13200,1400.0
2000,17424000,13200,1320.0
2001,17424000,13200,1320.0
2002,26325000,17550,1500.0
2003,13533000,17350,780.0
2004,16560000,17250,960.0
2005,16065000,17850,900.0
2006,16065000,17850,900.0
2007,16065000,17850,900.0
2008,23958000,18150,1320.0
2009,20235000,17750,1140.0
2010,25047000,18150,1380.0
2011,26136000,18150,1440.0
2012,21780000,18150,1200.0
2013,26352000,18300,1440.0
2014,16320000,17000,960.0
2015,23460000,17000,1380.0
2016,19278000,15300,1260.0
2017,26274000,18330,1433.3878887070377
2018,26050000,18090,1440.0221116639027
2019,21338000,20920,1019.980879541109
2020,36826000,21920,1680.0182481751824
2021,19728000,21920,900.0
2022,32688000,22700,1440.0
2023,25680000,21400,1200.0
